hash,filename,testcase,type
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testMultipleEmptyUpdates,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testSmallUpdates,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testEmptyLastUpdateWithFullStash,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testMultipleUpdatesDifferentSizes,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testRandomizedDataChunking,added
c38c3a6ca6f08098e34300da1737946cb04ec4b5,ChunkedAesCmacTest.java,testRandomized,added
301dc023c42361b7d7dad35d32be8a77bb543451,KeysetHandleTest.java,testGetAt_singleKeyWithRegisteredProtoSerialization_works,added
301dc023c42361b7d7dad35d32be8a77bb543451,KeysetHandleTest.java,testGetAt_singleKeyWithoutRegisteredProtoSerialization_works,added
03cec1aa58d573d7c8cd23e2f8ae50cb1fb4c238,HmacProtoSerializationTest.java,testSerializeKeys_noAccess_throws,added
329d1073d2e2796ba5d31c5374235f84767d53a6,HmacKeyTest.java,testEqualities,added
5f0b737f5e82df6aa84b6e6bfeadae6a87515af9,JsonKeysetReaderTest.java,testReadKeyset_withDuplicatedMapKey_throws,added
5f0b737f5e82df6aa84b6e6bfeadae6a87515af9,JsonKeysetReaderTest.java,testReadKeyset_withInvalidCharacterInTypeUrl_throws,added
e67cafa1fb9256d369d8a092e0d810fb72ccde21,HmacParametersTest.java,testEqualsAndEqualHashCode,added
e67cafa1fb9256d369d8a092e0d810fb72ccde21,HmacParametersTest.java,testNotEqual,added
9644325d0a5518658dcc25e92c943c0580a680bc,KeysetHandleTest.java,testBuilder_deprecated_removeAt_works,added
9644325d0a5518658dcc25e92c943c0580a680bc,KeysetHandleTest.java,testBuilder_deprecated_removeAtInvalidIndex_throws,added
9644325d0a5518658dcc25e92c943c0580a680bc,KeysetHandleTest.java,testBuilder_deleteAt_works,added
9644325d0a5518658dcc25e92c943c0580a680bc,KeysetHandleTest.java,testBuilder_deleteAtInvalidIndex_works,added
9644325d0a5518658dcc25e92c943c0580a680bc,KeysetHandleTest.java,testBuilder_deletedPrimary_throws,added
7ce1a98e945d9fe4c2ba11cfb5f331bc90c3ca1f,JwtMacWrapperTest.java,test_wrapMultipleRawKeys,added
46c33d41fa9bbeb0e0437142e09766faa4633919,StrictJsonParserTest.java,testNumbersToLong,added
46c33d41fa9bbeb0e0437142e09766faa4633919,StrictJsonParserTest.java,testNumbersToDouble,added
52012c006b1c3438ddbdcaeb8c24221bcda177bc,FakeCloudKmsTest.java,testEncryptDecryptWithValidKeyId_success,added
256f2d3fc2c57a517b408a55e341ab9586da5081,KeysetHandleTest.java,testSetStatusNull_throws,added
52012c006b1c3438ddbdcaeb8c24221bcda177bc,FakeCloudKmsTest.java,testEncryptWithUnknownKeyId_executeFails,added
52012c006b1c3438ddbdcaeb8c24221bcda177bc,FakeCloudKmsTest.java,testEncryptWithInvalidKeyId_encryptFails,added
52012c006b1c3438ddbdcaeb8c24221bcda177bc,FakeCloudKmsTest.java,testDecryptWithInvalidKeyId_decryptFails,added
52012c006b1c3438ddbdcaeb8c24221bcda177bc,FakeCloudKmsTest.java,testDecryptWithWrongKeyId_decryptFails,added
52012c006b1c3438ddbdcaeb8c24221bcda177bc,FakeCloudKmsTest.java,testDecryptExecuteWithInvalidCiphertext_executeFails,added
52012c006b1c3438ddbdcaeb8c24221bcda177bc,FakeCloudKmsTest.java,testEncryptDecryptWithTwoValidKeyId_success,added
736a7d7d7a4aad9447316310526a9a117afbef98,AesCmacParametersTest.java,testAesCmacParameters_incompleteBuildsFail,added
